job_title`,eachjob_welfare`,eachjob_company_detail`,eachjob_company_info`,job_link`
Python后端工程师 ` ,1-1.5万/月 ` ,民营公司    		    			  |  50-150人    		    		    			  |  计算机服务(系统、数据服务、维修) ` ,"岗位职责:- 负责后端系统的开发；岗位要求：1、3年以上WEB开发工作经验，1年以上Python开发，熟悉python并使用Flask开发过一个项目以上;2、必须熟悉使用Git进行代码版本管理;3、必须熟悉并习惯在Linux/Unix下进行日常开发，了解Linux下的服务器级应用程序，如Nginx, MySQL/Postgresql, Redis, ES等;4、熟悉MySQL或Postgresql, 了解ORM，能够编写DDL，DML；5、熟悉HTTP协议，了解RESTful；6、了解自动化部署并有实际使用经验者优先考虑；7、了解一些自动化测试方法及工具，熟悉BDD/ATDD、TDD开发模式并有实际使用开发者优先考虑；8、了解敏捷开发并能够接受者优先考虑；9、具备清晰的逻辑思维能力，擅长处理业务逻辑；10、具备较强的自学能力，好奇心强，善于沟通，有团队协作意识。 ` ",http://jobs.51job.com/shanghai-pdxq/94039451.html?s=01&t=0
Python开发工程师 ` ,1.2-2.4万/月 ` ,"合资    		    			  |  150-500人    		    		    			  |  计算机软件,互联网/电子商务 ` ","工作内容：1. 负责舆情系统功能开发与架构优化;2. 负责海量信息处理与分析工作；3. 负责Resiful API开发；技能要求：1. 熟悉python，有至少1年的python实际项目开发经验，有良好的编程基础和编程习惯，有python web、爬虫、自然语言处理经验者优先；2. 除Python外，有任一主流语言（C/C++/Java/PHP/golang等）开发经验者优先；3. 熟悉linux环境，有linux下程序开发、部署和维护经验;4. 熟悉mysql, 有redis,mongodb，elasticsearch等经验着优先；5. 有较好的交流沟通能力，较强的分析问题与独立解决问题的能力，较强的责任感，工作细心、耐心 ` ",http://jobs.51job.com/shanghai-ypq/96105350.html?s=01&t=0
DBA（java/python/jenkins） -（赴世界500强） ` ,1-2.5万/月 ` ,"合资    		    			  |  1000-5000人    		    		    			  |  计算机软件,计算机服务(系统、数据服务、维修) ` ",岗位职责:该职位会和企业数据库团队进行紧密合作，进行对企业内部运用程序的开发岗位要求:1、	大专以上学历，计算机相关专业2、	英语听说读写熟练3、	具备1-3年面向对象的编程和设计能力4、	熟悉一种或一种以上的脚本开发语言，如：C++、Java、Python5、	具备持续集成工具的使用经验（TeamCity、Jenkins等）6、	熟悉非关系型数据库（如：sql server、DB）优先7、	具备良好的独立开发能力和沟通能力 ` ,http://jobs.51job.com/shanghai/92409921.html?s=01&t=0
python 开发 ` ,1-1.5万/月 ` ,"民营公司    		    			  |  1000-5000人    		    		    			  |  计算机软件,计算机硬件 ` ","岗位职责：1. 至少3年以上web开发经验，能够独立完成开发任务, 主导系统子功能模块设计开发工作,。2. 具备良好 Python/Java/C++/Scala 语言基础 ，熟悉javascript，css，熟悉flask框架，有Rest-ful接口的开发经验。3. 熟悉数据库，有mysql/mongodb的开发经验。4. 熟悉后台开发，可以基于django/flask框架进行web server的开发，会使用python numpy进行数据的抓取，清洗和加载。 ` ",http://jobs.51job.com/shanghai-pdxq/94371923.html?s=01&t=0
Python开发工程师 ` ,1.2-1.8万/月 ` ,"合资    		    			  |  500-1000人    		    		    			  |  互联网/电子商务,金融/投资/证券 ` ",职位描述：1、负责运维相关系统开发，提高运维工作效率；2、自动化运维工具及平台的优化和整合；3、应用及监控系统的开发。任职要求：1、精通python语言并能够开发自动化运维工具；2、熟悉nginx、keepalive、haproxy、mysql、redis等常用服务的安装及配置；3、熟悉SaltStack开源框架，并利用框架开发过完整的自动化工具者优先；4、熟悉数据中心监控方案的实施，有Zabbix或者其他开源监控框架开发经验；5、责任心强，良好的对外沟通和团队协作能力，能承受工作压力；6、了解DevOps/CMDB/Django。 ` ,http://jobs.51job.com/shanghai-hpq/95535311.html?s=01&t=0
C++ 开发工程师（交易系统） ` ,1-4万/月 ` ,民营公司    		    			  |  少于50人    		    		    			  |  金融/投资/证券 ` ,"公司自行研发证券期货期权自动化交易系统，我们正在寻找对于开自动化交易应用程式有浓厚兴趣和经验丰富的开发人才加入我们的团队。我们为您提供一个全面的环境，从前线的技术支持到服务器端的开发，最大限度地提高您的金融和技术知识，帮助发展你的职业生涯，迈向全方位的交易系统架构师之路。岗位职责：- 设计和开发证券期货期权自动化交易系统- 负责后台服务程序开发和用户界面开发- 参与性能优化- 负责代码审查和测试岗位要求：- 精通C/C++开发语言，熟悉模板元编程，3年以上开发经验- 熟悉Linux下的C/C++开发与调试- 熟悉C++11，C++14和boost库- 熟悉TCP/IP和UDP协议网络通信程序开发- 熟悉多线程模式编码和代码优化- 优良的Script知识, bash shell 必须, perl, python, sed, awk, javascript 其中一种- 优良的技术故障排除和解决问题的能力- 良好的英语读写能力，能阅读英文文档- 愿意在不断变化的环境中工作- 有实时交易的开发经验者优先- 对金融市场没有经验或背景的考生也将予以考虑- 大学本科及以上学历，计算机科学、金融及相关专业，对优秀应届毕业生也将予以考虑我们提供：- 每月1-4万（根据经验）以及年终奖，经验非常优秀者薪资可面议- 年轻和开放的工作环境，鼓励新技术和新思路的探索- 扁平化的管理结构，参与我们快速增长的业务- 一个处于高速发展的技术团队的重要角色 ` ",http://jobs.51job.com/shanghai-hkq/96320846.html?s=01&t=0
微信开发工程师 ` ,1.2-1.5万/月 ` ,民营公司    		    			  |  150-500人    		    		    			  |  医疗/护理/卫生 ` ,岗位职责：1.负责微信二次开发应用产品的设计、实现、测试及功能维护；2.负责微信公众平台所需要的接口和数据管理，API数据接口开发工作；3.负责服务器端和客户端软件的设计、开发和维护；4.独立完成针对微信公众服务号的各类型项目开发设计；任职资格：1.熟悉微信公众平台开发流程；2.具有Web前端开发经验，掌握HTML（DIV+CSS）、Html5/CSS3、Ajax、React等技术；3.熟悉MySQL数据库操作，熟练掌握 Java、Python、Nodejs、PHP语言的其中一种或多种，熟悉HTTP协议；4.对微信公众平台上微网站、微应用和小程序开发有较深的理解与应用；5.有实际的针对微信接口编程经验，2年及以上微信公众号开发经验者优先； ` ,http://jobs.51job.com/shanghai-jaq/95332884.html?s=01&t=0
信息安全资深工程师 ` ,1-2万/月 ` ,"民营公司    		    			  |  500-1000人    		    		    			  |  互联网/电子商务,金融/投资/证券 ` ","岗位职责：1.安全产品的规划、需求、方案、实施、设置、维护、故障排除2.安全事件相应3.安全风险、安全漏洞的分析，提出相应的解决方案4.能帮助其他部门解决安全疑问5.安全产品的运维管理任职资格：1.精通常见体统和应用的安全加固，如：windows,linux等安全加固、apache,tomcat等安全加固，mysql等安全加固2.精通常见的网络安全设备原理及使用，如：防火墙，WAF，VPN，IDS,扫描器等，了解常见的网络攻击方式及防御方法（如ddos等）3.精通常见的web安全漏洞，如：owasp top 10.4.熟悉SDL流程并能够推进实施5.熟悉信息安全事件应急响应流程，对安全事件及安全风险有较高的敏感性6.熟悉安全开发，如python,java,php等优先7.有5年以上工作经验，有安全规划，涉及：建设，运维经验，安全产品操作经验优先。8.具有ccie(security),cissp等证书优先 ` ",http://jobs.51job.com/shanghai-xhq/93578369.html?s=01&t=0
搜索系统开发工程师 ` ,1-1.8万/月 ` ,"民营公司    		    			  |  50-150人    		    		    			  |  互联网/电子商务,计算机软件 ` ",1对1大牛导师不输BAT的高含金量项目经验来自百度、腾讯、盛大的大数据研发精英团队，屡获ACM国际数据挖掘大赛冠军殊荣，科研工程能力双雄，市场技术口碑优秀，氛围佳环境好职位描述：1.负责达观搜索引擎的核心算法研发和升级工作；2.追踪业界在搜索算法方面最新的研究进展，并融合新算法以提升系统精度；3.参与搜索广告系统的开发工作，实现高可靠和优异的变现效果。职位要求：1.1~3年工作经验，全日制本科学历，计算机、统计、数学及相关专业；2.具备搜索引擎，或推荐引擎，或精准广告引擎的相关研发和实践经历，熟悉Elasticsearch的优先；3.熟悉常用的编程语言（如Python、Java等），有扎实的编程能力；4.对数据挖掘技术有浓厚兴趣，有志于不断深挖机器学习算法来改善效果；5.具有良好的解决问题能力，逻辑思维清晰，分析能力强。简历投递地址：hr@datagrand.com ` ,http://jobs.51job.com/shanghai-pdxq/93252605.html?s=01&t=0
运维工程师 ` ,1-1.5万/月 ` ,民营公司    		    			  |  10000人以上    		    		    			  |  金融/投资/证券 ` ,职位描述：1.负责服务器日常运维工作，以及处理7*24小时的突发应急事件；2.负责公司应用程序（网站、微信公众号等）的运维工作；3.负责系统部署上线、系统优化；4.负责问题跟踪与管理，处理告警，定期给出业务运维状况报告；5.辅助DBA、软件开发人员进行业务运营数据分析与挖掘，性能分析与系统优化；6.熟悉Java系列、PHP系列应用运维。任职资格：1.运维经验至少2年以上，有互联网金融工作经验者优先；2.熟练编写shell脚本，熟悉Perl、Python、PHP任其一种语言能编写自动化运维脚本者优先；3.能安装部署、数据安全、系统监控、系统安全、性能优化、发布、扩容；4.善于学习和沟通，可独立编写自动化脚本，有大规模自动化运维经验；5.高度的工作责认心，工作认真、细心、虚心好学、沟通能力强。 ` ,http://jobs.51job.com/shanghai-pdxq/85255818.html?s=01&t=0
运维开发工程师（新闻报社） ` ,10-18万/年 ` ,"事业单位    		    			  |  150-500人    		    		    			  |  专业服务(咨询、人力资源、财会),影视/媒体/艺术/文化传播 ` ","新闻报社是上海报业集团旗下提供全领域新闻及资讯服务的媒体单位，依托专业的团队和强大的原创新闻优势，以报纸、网站、客户端、新媒体矩阵等多层次的平台，立足上海、面向全国，提供最鲜活、最实用的新闻和资讯信息。新闻报社目前旗下有《新闻晨报》报纸、周到上海APP客户端、新闻晨报网站、新闻晨报微博/微信新媒体矩阵等丰富的新闻产品。运维开发工程师  1人岗位职责：1. 负责服务器的规划、调试优化、日常监控、故障处理、数据备份、日志分析等工作2. 参与运维流程制定，确保任何突发情况都能高效响应；3. 负责爱回收自动发布系统构建与维护4. 负责爱回收监控系统构建与维护5. 负责运维相关数据的收集、分析和总结6. 负责技术运维相关的文档、手册、流程编写整理任职要求：1. 4年以上Linux运维经验，有丰富的Linux系统参数设置、性能调优、系统安全、故障定位处理 经验2. 熟悉常用服务的安装及配置，例如:Apache,Iptables,Nginx,MySQL,Redis,Tomcat等，运维过云平台系统经验者（阿里云）优先3. 具有大型网站的运维/架构经验、了解自动化运维和监控工具，在网络安全方面有一定经验4. 熟悉shell编程或脚本语言(例如Python,Perl等)，能编写自动化运维脚本5. 熟悉docker，具有docker实战经验者优先6. 工作态度踏实、认真，积极主动，抗压性强，具有较强的责任心以及团队合作精神 ` ",http://jobs.51job.com/shanghai/96155986.html?s=01&t=0
PHP后台工程师 ` ,1-1.5万/月 ` ,"民营公司    		    			  |  少于50人    		    		    			  |  计算机软件,互联网/电子商务 ` ",【岗位职责】1.移动电商平台账号、交易、商家、运营等相关后台管理系统研发；2.Discuz社区论坛账号系统及后台数据接口对接、新功能的研发和接入；3.根据项目需求进行相关后台系统的开发工作；3.对现有系统的不足进行分析，改进系统算法，提高系统性能。【任职要求】1.计算机相关专业，有交易系统开发经验或Discuz社区开发经验优先；2.编程基本功扎实，精通PHP、JS，了解Java、C/C++、python等相关语言；3.全面、扎实的软件知识结构：掌握操作系统、软件工程、设计模式、数据结构、算法等专业知识；4.热爱互联网，对技术有浓厚的兴趣。 ` ,http://jobs.51job.com/shanghai/89473309.html?s=01&t=0
中高级测试工程师 ` ,1.2-2万/月 ` ,外资（非欧美）    		    			  |  50-150人    		    		    			  |  互联网/电子商务 ` ,你将负责：1.Web 产品的日常版本迭代；2.Web 测试脚本的开发和维护；3.参与商户反馈问题的调研过程；4.协助改进流程，帮助开发更高效更放心地迭代他们的作品；5.给 Ping++ 的产品找茬，让它变得更完美。期待中的你：1.你有丰富的测试经验，参加或主导过大型复杂项目的功能测试（支付与金融相关的行业为佳）；2.数据库，RESTful API，HTTP等基础知识，你都已掌握；3.认可手动测试价值的同时，坚持推进功能测试自动化，并善于总结；4.至少一年的 Python 使用经验，善于融入到日常的测试工作中；5.至少调研过两种自动化测试框架或工具，熟悉 Selenium Webdriver API；能给你的：和这个星球上最聪明的一帮人一起奋斗。（说的就是我们现在这群程序员）自我成长并分享公司的成长果实。（越来越大的办公室，越来越多的团队建设，当然还有期权）百年之后，你我的肉身终将陨灭，而我们的精神和梦想依然可以在代码中相见。我们满怀期待，期待优秀的你，来一起定义 Ping++ ` ,http://jobs.51job.com/shanghai-pdxq/93127869.html?s=01&t=0
中级配置工程师（唐镇）（急招） ` ,1-1.5万/月 ` ,上市公司    		    			  |  1000-5000人    		    		    			  |  计算机软件 ` ,"工作职责：**银行配置管理工作任职资格：1、熟悉Clearcase、SVN、git等常用版本管理工具的使用与维护；2、熟悉使用JENKINS、Shell、Python等工具实现版本的自动化构建与部署；3、熟悉MAVEN、ANT、MAKE等JAVA和C编译工具的使用；4、熟悉JIRA、confluence、REDMINE项目与事务跟踪工具的配置与使用；5、熟悉Oracle,Informix,SQLServer,mysql等主流数据库的操作；6、掌握Loadrunner非功能测试工具的使用；7、具备良好的团队合作精神，沟通表达能力强，工作积极主动；Oracle,Informix,SQLServer,mysql天阳宏业科技股份有限公司上海分部 ` ",http://jobs.51job.com/shanghai-pdxq/92996142.html?s=01&t=0
IT System Administrator/ IT系统管理（上海） ` ,1-1.8万/月 ` ,"外资（欧美）    		    			  |  1000-5000人    		    		    			  |  汽车及零配件,检测，认证 ` ","MISSION使命As part of ICT department, IT System Administrator will full fill responsibilities related to Shanghai office computer systems. You will be working collaborative with the ICT operations staff in our office in Shanghai.作为ICT部门的一员，IT系统管理员将执行所有与上海办公室电脑系统相关的职责。并在上海办公室与公司ICT运营人员协同合作。RESPONSIBILITIES职责Build and maintain mission-critical systems for Shanghai office ICT Operations.为上海 的ICT运营建立和维护关键任务系统。Solve problems related to deployed, ongoing systems.解决与网络配置及系统相关的问题。Collaborate with IDIADA Spain ICT and Software Engineering teams.与IDIADA西班牙ICT团队及软件工程师团队协同合作。Plan ICT expenses and work directly with suppliers.进行ICT费用预算，与供应商协同合作。Managing an installation with a large number of network devices.管理大量网络设备的安装工作REQUIREMENTS要求Profile背景:Very good expertise (3+ years) with Linux environments.具备Linux环境的专业知识（3年以上）Proficiency with network protocols and devices (Extreme Networks is a plus).熟悉网络协议和设备（具备EXTR设备经验优先考虑）。Strong knowledge on networking services like DNS, DHCP, VLANs, VoIP,...强大的网络服务协议知识，如DNS, DHCP, VLANs, VoIP等。Programming and scripting skills in some of these languages: C, Java, Python, PHP, Perl, Bash, JavaScript.具备C, Java, Python, PHP, Perl, Bash, JavaScript中部分语言编程和脚本编程技术。Virtualization: experience working with hypervisors (VMWare is a plus).虚拟化：有虚拟机管理程序工作经验(具备VMWare虚拟机管理程序经验优先考虑) 。Ability to work under interruptions and adapt to heterogeneous environment.能应对突发状况，能适应复杂的工作环境。Excellent communication and trouble shooting skills.优秀的沟通能力和问题处理能力。Experience with large-scale deployments (more than 1K computers) will be an asset.具备大规模计算机部署经验(1千台电脑以上)优先考虑。Contributions to free/open source projects will be an asset.参与过免费或开放源代码项目并有所贡献者优先考虑。Experience of managing third party suppliers will be an asset.具备第三方供应商管理经验者优先考虑。Experience with Windows Server systems will be an asset.具备Windows服务系统经验优先考虑。Strong knowledge on managing GPO's, ACL's will be an asset.具备强大的管理GPO’S, ACL’s的知识的优先考虑。Education教育背景:Bachelor's degree in Computer Science or related field.计算机科学与技术或相关领域学士学位。Languages Skills语言:Fluent English.流利的英语。 ` ",http://jobs.51job.com/shanghai/90766636.html?s=01&t=0
系统运维工程师 ` ,1-1.5万/月 ` ,"外资（欧美）    		    			  |  50-150人    		    		    			  |  互联网/电子商务,房地产 ` ","What we are looking for:1.5+years systems operations experience.2. Ability to setup system and application monitoring using Nagios.3.Experience with deploying applications in a cloud environment (Aliyun, Amazon AWS, Azure, etc.)4.Experience with webserver, database, and FTP server setup and administration.5.Ability to automate daily tasks like backups and system checks.6.Be able to speak, read, and write English.7.Be able to use Linux/Mac on a daily basis, expert at working on a command      line.8.Self-starter. Able to continue working and making progress with minimal supervision.Nice to have:1.Familiar with Ansible and/or Docker2.Experience with Python and/or PHP3.Strongly organized, able to juggle multiple tasks within the constraints of timelines and budgets.4.Attention to detail and a desire to help us keep our systems well documented. ` ",http://jobs.51job.com/shanghai/93824472.html?s=01&t=0
模型输出 ` ,1-3万/月 ` ,"民营公司    		    			  |  50-150人    		    		    			  |  计算机软件,互联网/电子商务 ` ",工作职责： ` ,http://jobs.51job.com/shanghai-pdxq/91761357.html?s=01&t=0
测试工程师 ` ,1.2-1.3万/月 ` ,合资    		    			  |  少于50人    		    		    			  |  互联网/电子商务 ` ,"职责描述：1.负责公司移动端产品的测试工作，包括app功能测试、web功能测试、自动化测试、接口测试,性能测试等；2.独立进行测试需求分析、测试用例的设计与编写、测试执行，测试报告的编写；3.善于运用多种测试方法、利用辅助工具快速定位问题，提高效率；4.测试报告整理分析、并推动问题及时合理的解决；5.持续改进和优化测试流程等。任职要求：1.本科及以上学历，计算机相关专业优先;2.2年测试相关工作经验，1年以上移动App测试经验，有app机型适配测试优先;3.熟悉Android/iOS研发和测试项目流程;4.有rest api的接口测试经验5.熟悉数据库，能编写复杂的sql脚本;6.熟悉一门编程语言，例如:js，python优先考虑;7.思路清晰，逻辑思维能力强，具有很强的问题细节捕捉、分析和解决能力。8.有强烈的上进心和求知欲，善于学习新事物;良好的团队合作精神，较强的沟通能力。企业信息：甜新科技（上海）有限公司（TX technology ltd. Corp.），成立2016年初，公司的主要产品是通信PaaS平台，同时在PAAS平台的基础上提供SAAS应用，比如在线客服，在线教育，在线医疗等方面，为行业客户、互联网客户、系统集成商以及行业客户可以定制开发适合不同行业的通讯业务。近期已经获得投资机构千万级天使轮投资。官网为https://www.txtechnology.com.cn，可以登录浏览，以便于了解公司主要的业务以及介绍。 ` ",http://jobs.51job.com/shanghai-xhq/94850368.html?s=01&t=0
服务器工程师 ` ,1.2-1.8万/月 ` ,"民营公司    		    			  |  50-150人    		    		    			  |  网络游戏,计算机软件 ` ",岗位职责：1、负责游戏产品服务器端开发；2、确保项目研发计划的进度和质量；任职要求：1、熟悉常见的游戏业务逻辑，熟悉常见网络游戏服务器端的基本框架；3、熟练掌握c/c++/java/python/php中至少一门语言编程；4、熟悉mysql数据库操作，熟悉memcached、redis等内存数据库使用，具备编写常用的sql脚本的能力；5、熟悉网络通信的协议和实现，熟悉tcp/ip通信机制，对socket通信和http通信有较深刻的理解和经验；6、具备c/c++/python编程经验的优先考虑；7、要求至少有2年以上游戏公司游戏开发经验，有完整项目经验者优先考虑；8、具有良好的编码习惯，严谨的编码风格；9、富有团队精神和独立解决问题的能力。 ` ,http://jobs.51job.com/shanghai-ptq/78614952.html?s=01&t=0
